		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000   28   20   17   21   19   19   28   21  7.685772 0.464751 SUCCESS  76
100101000   22   22   28   25   22   19   20   30  4.679721 0.791195 SUCCESS  77
100110000   17   27   22   14   21   33   26   24 11.169771 0.192264 SUCCESS  78
100111000   31   25   20   29   31   27   24   17  8.037283 0.429837 SUCCESS  79
101000000   27   26   19   22   26   21   15   26  6.322755 0.611127 SUCCESS  80
101000100   23   18   23   21   21   28   23   27  3.797964 0.874876 SUCCESS  81
101001000   23   23   29   24   19   19   29   34  8.341794 0.400815 SUCCESS  82
101001100   19   18   27   17   19   28   27   26  7.754618 0.457800 SUCCESS  83
101010000   18   24   19   32   34   20   28   31 12.545365 0.128479 SUCCESS  84
101010100   20   22   19   28   28   23   36   24  9.189128 0.326594 SUCCESS  85
101011000   23   26   31   27   23   28   20   22  4.020389 0.855279 SUCCESS  86
101011100   35   25   30   33   32   29   28   26 13.244416 0.103712 SUCCESS  87
101100000   20   11   21   20   27   20   15   21 15.072142 0.057758 SUCCESS  88
101100100   22   24   26   18   28   23   28   23  3.358410 0.909896 SUCCESS  89
101101000   19   19   28   25   25   28   24   26  3.714555 0.881916 SUCCESS  90
101101100   21   22   27   22   22   26   28   27  2.452159 0.963924 SUCCESS  91
101110000   30   22   25   33   22   26   22   27  5.605831 0.691289 SUCCESS  92
101110100   28   28   25   27   24   27   23   25  1.792827 0.986718 SUCCESS  93
101111000   22   26   26   19   18   19   18   21  6.888748 0.548682 SUCCESS  94
101111100   26   27   22   21   24   32   31   26  5.538309 0.698792 SUCCESS  95
110000000   25   19   22   24   29   23   26   28  3.138632 0.925359 SUCCESS  96
110000010   19   25   26   19   22   31   18   27  6.704718 0.568800 SUCCESS  97
110000100   28   33   18   28   17   29   20   26 10.112590 0.257212 SUCCESS  98
110001000   25   27   21   23   30   20   27   22  3.553694 0.894983 SUCCESS  99
