		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000   21   32   21   30   21   20   30   29  8.291483 0.405528 SUCCESS  76
100101000   31   25   30   19   27   22   17   19  8.509936 0.385306 SUCCESS  77
100110000   22   20   24   17   17   25   19   28  7.507699 0.482972 SUCCESS  78
100111000   27   26   21   32   26   22   24   23  3.774795 0.876849 SUCCESS  79
101000000   26   18   21   19   28   35   27   24  9.171916 0.328002 SUCCESS  80
101000100   19   19   14   21   22   24   26   18  9.633316 0.291711 SUCCESS  81
101001000   28   27   26   26   16   19   30   25  6.621308 0.577986 SUCCESS  82
101001100   22   24   21   28   19   15   29   22  7.407078 0.493415 SUCCESS  83
101010000   16   31   18   24   22   34   25   19 11.975401 0.152305 SUCCESS  84
101010100   26   24   21   23   20   30   24   22  3.086998 0.928780 SUCCESS  85
101011000   30   32   29   30   23   31   24   16 10.928149 0.205804 SUCCESS  86
101011100   24   18   27   21   26   20   22   26  3.797964 0.874876 SUCCESS  87
101100000   29   28   29   27   34   23   29   22  7.759913 0.457267 SUCCESS  88
101100100   18   26   33   23   32   27   24   33 10.936754 0.205309 SUCCESS  89
101101000   31   20   25   21   28   28   26   22  4.622129 0.797094 SUCCESS  90
101101100   17   24   29   27   22   27   33   20  7.994254 0.434032 SUCCESS  91
101110000   25   18   19   22   18   27   20   23  6.151964 0.630214 SUCCESS  92
101110100   25   25   27   17   33   24   23   24  5.867313 0.662092 SUCCESS  93
101111000   31   24   25   24   15   22   18   26  7.704307 0.462874 SUCCESS  94
101111100   32   28   22   24   33   16   24   30 10.707047 0.218857 SUCCESS  95
110000000   30   19   23   21   25   27   23   22  3.764865 0.877691 SUCCESS  96
110000010   25   25   31   22   25   26   26   29  3.250507 0.917668 SUCCESS  97
110000100   30   24   28   19   24   25   21   28  4.181251 0.840411 SUCCESS  98
110001000   25   23   25   27   24   25   22   18  2.400525 0.966208 SUCCESS  99
110001010   13   21   25   24   18   27   24   26  8.152467 0.418720 SUCCESS 100
110010000   19   30   22   27   27   22   36   27  9.614119 0.293160 SUCCESS 101
110010010   25   28   21   21   28   24   26   25  2.223776 0.973371 SUCCESS 102
110010100   30   27   22   20   28   27   14   14 12.677761 0.123428 SUCCESS 103
110011000   26   24   30   22   17   28   20   24  5.383406 0.715921 SUCCESS 104
110011010   17   29   30   26   19   31   40   25 18.062967 0.020759 SUCCESS 105
110100000   37   22   20   18   24   27   26   18 11.662284 0.166920 SUCCESS 106
110100010   26   20   19   25   17   18   25   20  7.066821 0.529441 SUCCESS 107
110100100   27   31   23   29   28   25   33   30  8.141876 0.419736 SUCCESS 108
110101000   17   30   23   22   26   29   21   18  7.204512 0.514737 SUCCESS 109
110101010   30   28   17   24   21   29   22   24  5.841496 0.664981 SUCCESS 110
110101100   17   23   37   27   26   27   31   20 12.477843 0.131123 SUCCESS 111
110110000   22   26   25   25   35   19   26   21  6.977453 0.539067 SUCCESS 112
110110010   28   27   22   36   26   31   16   31 13.572096 0.093623 SUCCESS 113
110110100   34   18   23   25   25   19   26   32  9.545273 0.298402 SUCCESS 114
110111000   27   24   24   17   16   31   23   30  8.866082 0.353719 SUCCESS 115
110111010   22   23   25   21   28   22   23   17  4.026347 0.854739 SUCCESS 116
110111100   31   29   19   23   22   26   23   27  4.782990 0.780499 SUCCESS 117
111000000   29   20   18   17   18   29   26   28  9.060042 0.337256 SUCCESS 118
111000010   25   20   26   19   25   23   18   16  6.999299 0.536708 SUCCESS 119
111000100   24   17   29   24   28   16   23   29  7.747336 0.458532 SUCCESS 120
111000110   29   26   21   23   18   21   27   30  5.417829 0.712126 SUCCESS 121
111001000   24   24   31   27   36   16   33   21 14.461135 0.070510 SUCCESS 122
111001010   24   20   21   18   29   19   20   20  6.821226 0.556038 SUCCESS 123
111001100   21   22   32   32   23   23   17   30  9.443328 0.306287 SUCCESS 124
111010000   27   23   29   18   24   28   17   22  6.120189 0.633771 SUCCESS 125
111010010   22   28   20   28   28   25   34   26  6.741788 0.564731 SUCCESS 126
111010100   23   29   27   31   26   16   16   14 13.779296 0.087702 SUCCESS 127
111010110   18   28   34   23   22   26   33   26  9.868319 0.274390 SUCCESS 128
111011000   24   32   22   27   28   28   19   17  7.638109 0.469594 SUCCESS 129
111011010   27   25   17   25   27   21   22   27  3.942938 0.862235 SUCCESS 130
111011100   31   20   16   20   17   30   28   24 10.678582 0.220585 SUCCESS 131
111100000   30   25   27   25   19   28   25   28  3.995896 0.857494 SUCCESS 132
111100010   23   23   27   20   21   22   15   27  6.034132 0.643408 SUCCESS 133
111100100   22   28   27   18   36   19   24   23  9.841178 0.276351 SUCCESS 134
111100110   20   28   29   29   24   30   17   40 17.130899 0.028775 SUCCESS 135
111101000   24   25   22   30   27   28   18   25  4.181251 0.840411 SUCCESS 136
111101010   24   27   19   32   29   29   20   14 11.171095 0.192192 SUCCESS 137
111101100   25   26   24   34   33   32   24   17 11.944950 0.153677 SUCCESS 138
111101110   29   17    8   32   17   24   26   28 20.040963 0.010182 SUCCESS 139
111110000   24   28   22   19   24   25   25   24  2.078803 0.978500 SUCCESS 140
111110010   24   20   24   16   32   25   25   28  6.849691 0.552933 SUCCESS 141
111110100   21   24   28   28   31   31   24   24  5.301320 0.724938 SUCCESS 142
111110110   19   23   25   18   24   35   34   26 11.850287 0.158010 SUCCESS 143
111111000   17   22   26   24   25   24   20   28  4.069376 0.850810 SUCCESS 144
111111010   20   24   31   28   34   30   19   20 10.511763 0.230926 SUCCESS 145
111111100   17   22   23   26   24   30   22   35  9.095789 0.334280 SUCCESS 146
111111110   21   19   23   25   28   29   24   31  5.121924 0.744469 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   26   35   23   19   16   23   24   19 10.500510 0.231637 SUCCESS   0
000000011   26   30   27   22   22   28   20   24  3.588117 0.892244 SUCCESS   1
000000101   21   26   25   18   24   23   26   21  3.035364 0.932119 SUCCESS   2
000000111   20   27   19   22   28   32   20   21  6.891396 0.548394 SUCCESS   3
000001001   36   26   20   26   16   26   20   25 10.671301 0.221028 SUCCESS   4
000001011   19   19   23   24   28   23   29   19  5.323166 0.722543 SUCCESS   5
000001101   29   23   20   20   23   23   26   29  3.790683 0.875498 SUCCESS   6
000001111   17   28   19   27   25   29   16   19  9.525413 0.299927 SUCCESS   7
000010001   25   31   21   22   27   32   26   23  5.521098 0.700701 SUCCESS   8
000010011   34   30   26   25   25   25   20   29  7.106539 0.525183 SUCCESS   9
000010101   34   32   26   20   17   23   29   24 10.587891 0.226160 SUCCESS  10
000010111   23   23   21   23   22   25   28   23  1.629318 0.990347 SUCCESS  11
000011001   25   28   29   26   27   24   21   27  2.640162 0.954874 SUCCESS  12
000011011   31   24   28   20   19   38   23   24 12.384504 0.134855 SUCCESS  13
000011101   28   20   25   33   29   24   18   21  7.646715 0.468718 SUCCESS  14
000011111   19   25   24   21   37   18   17   20 13.347023 0.100454 SUCCESS  15
000100011   27   20   25   29   28   29   31   29  6.208895 0.623845 SUCCESS  16
000100101   32   23   33   20   20   25   23   24  7.409726 0.493139 SUCCESS  17
000100111   42   26   28   20   29   23   18   26 17.426804 0.025959 SUCCESS  18
000101001   24   24   39   21   31   20   27   23 12.571183 0.127480 SUCCESS  19
000101011   25   32   26   16   25   27   31   19  8.943533 0.347082 SUCCESS  20
000101101   25   24   20   20   27   24   24   23  2.044380 0.979621 SUCCESS  21
000101111   22   32   27   29   20   25   27   26  5.106036 0.746185 SUCCESS  22
000110011   21   23   27   22   19   22   26   30  4.019066 0.855399 SUCCESS  23
000110101   31   18   19   27   30   26   30   21  8.359005 0.399210 SUCCESS  24
000110111   29   25   22   22   24   35   25   24  6.190359 0.625918 SUCCESS  25
000111001   25   30   25   30   25   19   19   28  5.723664 0.678154 SUCCESS  26
000111011   25   23   17   28   25   17   26   26  5.518450 0.700995 SUCCESS  27
000111101   19   23   19   25   18   31   23   21  6.720605 0.567055 SUCCESS  28
000111111   15   14   15   21   28   23   16   28 16.725106 0.033102 SUCCESS  29
001000011   33   17   29   21   29   35   17   21 15.307145 0.053441 SUCCESS  30
001000101   22   31   25   31   26   29   18   20  7.511671 0.482562 SUCCESS  31
001000111   20   24   28   27   24   20   29   21  3.875416 0.868185 SUCCESS  32
001001011   21   24   29   28   21   15   20   27  7.280640 0.506679 SUCCESS  33
001001101   20   22   16   30   22   23   20   28  7.076750 0.528375 SUCCESS  34
001001111   30   36   19   17   29   24   24   28 12.045571 0.149182 SUCCESS  35
001010011   20   31   34   23   29   21   29   17 11.257153 0.187550 SUCCESS  36
001010101   26   25   27   32   21   32   21   24  6.292304 0.614526 SUCCESS  37
001010111   25   34   26   12   20   25   23   17 13.779296 0.087702 SUCCESS  38
001011011   16   20   31   19   31   19   22   19 11.448465 0.177560 SUCCESS  39
001011101   17   21   19   30   16   34   28   21 13.305318 0.101767 SUCCESS  40
001011111   23   26   28   19   11   25   25   27  9.898770 0.272203 SUCCESS  41
001100101   18   21   23   23   26   24   25   30  3.849599 0.870432 SUCCESS  42
001100111   22   18   25   25   21   20   25   21  3.822458 0.872776 SUCCESS  43
001101011   30   23   16   26   27   17   25   23  7.213118 0.513823 SUCCESS  44
001101101   25   14   19   23   16   18   31   21 12.972342 0.112805 SUCCESS  45
001101111   29   26   19   23   23   29   29   25  4.215674 0.837159 SUCCESS  46
001110101   24   19   36   31   24   21   24   19 10.527651 0.229925 SUCCESS  47
001110111   21   25   24   27   26   18   16   22  5.873271 0.661425 SUCCESS  48
001111011   24   29   26   27   21   25   33   20  5.758086 0.674309 SUCCESS  49
001111101   22   32   33   22   27   25   23   25  6.470377 0.594695 SUCCESS  50
001111111   18   25   25   23   22   21   15   25  6.338643 0.609356 SUCCESS  51
010000011   30   22   23   27   23   32   22   27  5.004091 0.757139 SUCCESS  52
010000111   27   18   26   21   27   18   22   22  5.127882 0.743825 SUCCESS  53
010001011   19   30   27   24   25   28   21   26  4.020389 0.855279 SUCCESS  54
010001111   28   20   17   32   23   24   23   28  6.858297 0.551996 SUCCESS  55
010010011   21   17   21   20   25   19   21   28  6.406165 0.601834 SUCCESS  56
010010111   24   24   27   30   22   17   24   26  4.307689 0.828351 SUCCESS  57
010011011   15   18   25   24   22   24   29   23  6.729211 0.566111 SUCCESS  58
010011111   22   37   30   19   28   26   17   24 12.519548 0.129485 SUCCESS  59
010100011   27   27   15   29   24   24   28   35 10.537581 0.229301 SUCCESS  60
010100111   26   26   29   20   26   27   24   12  8.848870 0.355205 SUCCESS  61
010101011   24   23   27   37   25   35   18   32 16.063788 0.041476 SUCCESS  62
010101111   28   30   19   20   23   34   24   20  8.748249 0.363977 SUCCESS  63
010110011   24   17   26   30   27   18   34   24  9.697528 0.286900 SUCCESS  64
010110111   20   25   25   13   35   23   21   31 13.535025 0.094719 SUCCESS  65
010111011   23   20   23   17   15   31   20   23  9.795501 0.279673 SUCCESS  66
010111111   29   21   28   20   20   32   23   18  7.840675 0.449186 SUCCESS  67
011000111   16   20   18   26   27   17   30   28 10.135759 0.255626 SUCCESS  68
011001111   22   27   30   33   20   23   25   30  7.241583 0.510806 SUCCESS  69
011010111   26   20   23   27   24   18   25   24  3.061181 0.930460 SUCCESS  70
011011111   23   22   24   20   28   27   23   19  3.306775 0.913658 SUCCESS  71
011101111   23   21   15   21   16   17   19   24 11.352478 0.182516 SUCCESS  72
011111111   23   30   31   25   27   18   15   27  9.324172 0.315692 SUCCESS  73
100000000   26   35   23   19   16   23   25   19 10.509115 0.231093 SUCCESS  74
100010000   27   22   30   14   24   27   22   20  7.797646 0.453482 SUCCESS  75
100100000   29   28   29   27   28   25   22   19  4.673764 0.791807 SUCCESS  76
100101000   35   21   22   26   24   24   20   30  7.765871 0.456668 SUCCESS  77
100110000   29   34   30   25   26   25   22   22  6.759000 0.562844 SUCCESS  78
100111000   34   28   20   18   21   27   26   20  8.713826 0.367009 SUCCESS  79
101000000   20   24   23   21   17   30   21   30  6.865579 0.551203 SUCCESS  80
101000100   30   19   24   24   20   28   25   20  4.781666 0.780637 SUCCESS  81
101001000   25   30   29   27   38   21   19   21 12.579788 0.127149 SUCCESS  82
101001100   17   33   37   32   17   25   31   16 21.798519 0.005303 FAILURE  83
101010000   26   20   19   20   17   22   14   23 10.209239 0.250646 SUCCESS  84
101010100   19   24   21   20   22   18   19   23  5.846130 0.664463 SUCCESS  85
101011000   24   18   21   31   18   23   28   23  6.526645 0.588454 SUCCESS  86
101011100   21   31   30   30   28   17   33   27 11.284294 0.186105 SUCCESS  87
101100000   25   22   17   24   19   29   15   25  8.474190 0.388571 SUCCESS  88
101100100   31   25   22   22   18   30   29   18  8.044565 0.429129 SUCCESS  89
101101000   28   24   27   21   20   22   30   27  4.011784 0.856059 SUCCESS  90
101101100   22   20   27   20   25   23   26   18  4.111081 0.846965 SUCCESS  91
101110000   21   26   28   32   22   19   26   22  5.426435 0.711176 SUCCESS  92
101110100   23   23   24   22   32   31   19   26  6.053991 0.641184 SUCCESS  93
101111000   25   26   19   23   23   24   23   22  1.857701 0.985068 SUCCESS  94
101111100   21   20   18   23   19   26   24   31  6.322755 0.611127 SUCCESS  95
110000000   28   27   19   21   20   23   34   19  8.603276 0.376860 SUCCESS  96
110000010   23   20   29   23   19   29   25   21  4.518860 0.807543 SUCCESS  97
110000100   28   26   32   23   27   27   25   34  7.683786 0.464952 SUCCESS  98
110001000   21   19   28   23   26   28   22   21  3.747654 0.879143 SUCCESS  99
110001010   21   32   34   24   28   16   31   24 12.240855 0.140777 SUCCESS 100
110010000   36   23   25   25   29   38   24   28 15.107227 0.057094 SUCCESS 101
110010010   26   19   28   28   20   24   19   19  5.738227 0.676527 SUCCESS 102
110010100   23   31   19   25   21   19   20   23  5.805749 0.668980 SUCCESS 103
